[Info  - 9:03:36 pm] Angular language server process ID: 4597
[Info  - 9:03:36 pm] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 9:03:36 pm] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 9:03:36 pm] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 9:03:38 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:03:39 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:03:41 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:33 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:40 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:40 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:41 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:41 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:42 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:43 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:43 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:43 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:43 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:44 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:45 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:45 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:05:45 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:14 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:19 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:22 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:24 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:37 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:38 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:07:39 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:27 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:27 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:28 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:28 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:28 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:28 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:29 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:29 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:31 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:31 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:31 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:32 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:32 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:33 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:33 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:33 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:33 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:34 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:34 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:34 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:34 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:35 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:36 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:36 pm] No config file for /var/www/html/officework/Cue/index.html
[Error - 9:08:36 pm] No config file for /var/www/html/officework/Cue/index.html
